product_name,image,cat_l0,cat_l1,cat_l2,cat_l3,barcode,brand,manufacturer,capacity,effect,price,source,href
Nước tẩy trang JM Solution Ceramide 500ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,JM,,,,199000,,https://cooponline.vn/products/nuoc-tay-trang-jm-solution-ceramide-500ml/,
Nước tẩy trang JM Solution Centella 500ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,JM,,,,199000,,https://cooponline.vn/products/nuoc-tay-trang-jm-solution-centella-500ml/,
Bông tẩy trang Helen Harper 120 miếng,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,,,,,56200,,https://cooponline.vn/products/bong-tay-trang-helen-harper-120-mieng/,
Bông tẩy trang Kokimi tròn 210 miếng,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Kokimi,,,,57500,,https://cooponline.vn/products/bong-tay-trang-kokimi-tron-210-mieng/,60500
Bông tẩy trang Kokimi vuông 240 miếng,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Kokimi,,,,52500,,https://cooponline.vn/products/bong-tay-trang-kokimi-vuong-240-mieng/,55000
Bông tẩy trang Cotoneve 70 miếng,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,,,,,31900,,https://cooponline.vn/products/bong-tay-trang-cotoneve-70-mieng/,33600
Dầu tẩy trang dưỡng ẩm Hadalabo 200ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Hadalabo,,,,287500,,https://cooponline.vn/products/dau-tay-trang-duong-am-hadalabo-200ml/,
Nước tẩy trang Hadalabo sạch sâu dưỡng ẩm 40ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Hadalabo,,,,52500,,https://cooponline.vn/products/nuoc-tay-trang-hadalabo-sach-sau-duong-am-40ml/,
Bọt rửa mặt dưỡng ẩm Hadalabo Gokujyun 160ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Hadalabo,,,,165000,,https://cooponline.vn/products/bot-rua-mat-duong-am-hadalabo-gokujyun-160ml/,212900
Khăn giấy tẩy trang Biore 10 miếng,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Biore,,,,29000,,https://cooponline.vn/products/khan-giay-tay-trang-biore-10-mieng/,
Nước tẩy trang Garnier Vitamin C 400ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Garnier,,,,196000,,https://cooponline.vn/products/nuoc-tay-trang-garnier-vitamin-c-400ml/,
Bông tẩy trang Pop Puf 90M,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,,,,,23500,,https://cooponline.vn/products/bong-tay-trang-pop-puf-90m/,25600
Nước tẩy trang Senka Acne Care 230ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Senka,,,,138900,,https://cooponline.vn/products/nuoc-tay-trang-senka-acne-care-230ml/,
Dung dịch tẩy trang Acnes micellar water 200ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Acnes,,,,110500,,https://cooponline.vn/products/dung-dich-tay-trang-acnes-micellar-water-200ml/,
Nước tẩy trang Garnier da nhạy cảm 400ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Garnier,,,,196500,,https://cooponline.vn/products/nuoc-tay-trang-garnier-da-nhay-cam-400ml/,
Bông tẩy trang tròn Coop Select 50 miếng lốc 3,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Coop Select,,,,42000,,https://cooponline.vn/products/bong-tay-trang-tron-coop-select-50-mieng-loc-3/,47000
Nước tẩy trang Nivea sạch nhờn mụn 125ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,NIVEA,,,,75000,,https://cooponline.vn/products/nuoc-tay-trang-nivea-sach-nhon-mun-125ml/,
Nước tẩy trang Garnier BHA da dầu mụn 400ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Garnier,,,,149000,,https://cooponline.vn/products/nuoc-tay-trang-garnier-bha-da-dau-mun-400ml/,195500
Nước tẩy trang Nivea sáng da 400ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,NIVEA,,,,129000,,https://cooponline.vn/products/nuoc-tay-trang-nivea-sang-da-400ml/,193000
Nước tẩy trang Nivea ngừa mụn 400ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,NIVEA,,,,129000,,https://cooponline.vn/products/nuoc-tay-trang-nivea-ngua-mun-400ml/,193000
Nước tẩy trang Nivea hoa hồng sáng da 400ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,NIVEA,,,,129000,,https://cooponline.vn/products/nuoc-tay-trang-nivea-hoa-hong-sang-da-400ml/,206000
Nước tẩy trang Hadalabo sạch sâu dưỡng trắng 240ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Hadalabo,,,,147500,,https://cooponline.vn/products/nuoc-tay-trang-hadalabo-sach-sau-duong-trang-240ml/,
Nước tẩy trang Hadalabo sạch sâu dưỡng ẩm 240ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Hadalabo,,,,142500,,https://cooponline.vn/products/nuoc-tay-trang-hadalabo-sach-sau-duong-am-240ml/,
Bông tẩy trang Cotoneve 100 miếng,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,,,,,47500,,https://cooponline.vn/products/bong-tay-trang-cotoneve-100-mieng/,
Nước tẩy trang Senka milky 2 lớp 230ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Senka,,,,119000,,https://cooponline.vn/products/nuoc-tay-trang-senka-milky-2-lop-230ml/,
Nước tẩy trang Pond’s Micellar sạch dịu nhẹ sáng da 400ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Pond's,,,,150000,,https://cooponline.vn/products/nuoc-tay-trang-ponds-micellar-sach-diu-nhe-sang-da-400ml/,
Bông tẩy trang Niva tròn 100 miếng,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Niva,,,,39000,,https://cooponline.vn/products/bong-tay-trang-niva-tron-100-mieng/,41200
Nước tẩy trang Biore dưỡng ẩm 400ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,,,,,212000,,https://cooponline.vn/products/nuoc-tay-trang-biore-duong-am-400ml/,
Nước tẩy trang Simple làm sạch trang điểm và cấp ẩm 400ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Simple,,,,198000,,https://cooponline.vn/products/nuoc-tay-trang-simple-lam-sach-trang-diem-va-cap-am-400ml/,
Nước tẩy trang Senka All Clear Bright 230ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Senka,,,,118000,,https://cooponline.vn/products/nuoc-tay-trang-senka-all-clear-bright-230ml/,
Bông tẩy trang JOMI 80 miếng,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,JOMI,,,,27200,,https://cooponline.vn/products/bong-tay-trang-jomi-80-mieng/,28800
Nước tẩy trang L’oreal Micellar tươi mát 400ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Loreal,,,,165000,,https://cooponline.vn/products/nuoc-tay-trang-loreal-micellar-tuoi-mat-400ml/,235500
Nước tẩy trang L’oreal Micellar 3in1 sạch sâu 400ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Loreal,,,,277000,,https://cooponline.vn/products/nuoc-tay-trang-loreal-micellar-3in1-sach-sau-400ml/,
Nước tẩy trang L’oreal Micellar dưỡng ẩm 400ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Loreal,,,,199000,,https://cooponline.vn/products/nuoc-tay-trang-loreal-micellar-duong-am-400ml/,235500
Nước tẩy trang Nivea sáng da 200ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,NIVEA,,,,116500,,https://cooponline.vn/products/nuoc-tay-trang-nivea-sang-da-200ml/,
Nước tẩy trang Nivea kiểm soát nhờn 200ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,NIVEA,,,,116500,,https://cooponline.vn/products/nuoc-tay-trang-nivea-kiem-soat-nhon-200ml/,
Nước tẩy trang Nivea ngừa mụn 200ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,NIVEA,,,,116500,,https://cooponline.vn/products/nuoc-tay-trang-nivea-ngua-mun-200ml/,
Nước tẩy trang Senka all clear fresh 230ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Senka,,,,83000,,https://cooponline.vn/products/nuoc-tay-trang-senka-all-clear-fresh-230ml/,119000
Bông trang điểm PoP-Puf 2 công dụng hộp 100 miếng,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,,,,,28000,,https://cooponline.vn/products/bong-trang-diem-pop-puf-2-cong-dung-hop-100-mieng/,30400
Xúc xích LC Đức 500g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,LC Foods,,,,77900,,https://cooponline.vn/products/xuc-xich-lc-duc-500g/,
Khô bò xé sate Coop Select 145g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,179000,,https://cooponline.vn/products/kho-bo-xe-sate-coop-select-145g/,
Xúc xích vị cay Mala Coop Select cây 70g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,9500,,https://cooponline.vn/products/xuc-xich-vi-cay-mala-coop-select-cay-70g/,10400
Xúc xích vị heo hầm bắp Coop Select cây 70g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,9500,,https://cooponline.vn/products/xuc-xich-vi-heo-ham-bap-coop-select-cay-70g/,10400
Cơm cháy chà bông Coop Select 250g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,88000,,https://cooponline.vn/products/com-chay-cha-bong-coop-select-250g/,
Mực xé sợi xốt bơ tỏi ăn liền Coop Select 140g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,76000,,https://cooponline.vn/products/muc-xe-soi-xot-bo-toi-an-lien-co-op-select-140g/,83500
Mực xé sợi ăn liền Coop Select 140g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,79900,,https://cooponline.vn/products/muc-xe-soi-an-lien-co-op-select-140g/,
Khô bò miếng Coop Select 100g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,99900,,https://cooponline.vn/products/kho-bo-mieng-coop-select-100g/,116000
Khô bò xé Coop Select 100g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,99900,,https://cooponline.vn/products/kho-bo-xe-coop-select-100g/,116000
Xúc xích heo tiệt trùng chấm xốt cà Coop Select ly 76g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,9500,,https://cooponline.vn/products/xuc-xich-heo-tiet-trung-cham-xot-ca-coop-select-ly-76g/,
Xúc xích heo tiệt trùng lắc phô mai Coop Select ly 65g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,9500,,https://cooponline.vn/products/xuc-xich-heo-tiet-trung-lac-pho-mai-coop-select-ly-65g/,
Tôm khô Coop Select 100g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,74900,,https://cooponline.vn/products/tom-kho-coop-select-100g/,
Lạp xưởng Mai Quế Lộ Coop Select hộp 500g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,113500,,https://cooponline.vn/products/lap-xuong-mai-que-lo-coop-select-hop-500g/,
Xúc xích tỏi xông khói Coop Select 500g – CHV,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,75000,,https://cooponline.vn/products/xuc-xich-toi-xong-khoi-coop-select-500g-chv/,81000
Cá đuối 1 nắng Coop Select 300g-LĐ,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,69000,,https://cooponline.vn/products/ca-duoi-1-nang-coop-select-300g-ld/,
Xúc xích tỏi xông khói Coop Select 250g – CHV,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,42900,,https://cooponline.vn/products/xuc-xich-toi-xong-khoi-coop-select-250g-chv/,
Xúc xích phô mai Coop Select 200g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,32000,,https://cooponline.vn/products/xuc-xich-pho-mai-coop-select-200g/,35200
Khô bò miếng Coop Select 95g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,125500,,https://cooponline.vn/products/kho-bo-mieng-coop-select-95g/,
Khô bò cây Coop Select 95g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,125500,,https://cooponline.vn/products/kho-bo-cay-coop-select-95g/,
Tôm khô Coop Finest size L 170g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Finest,,,,217000,,https://cooponline.vn/products/tom-kho-coop-finest-size-l-170g/,
Tôm khô Coop Finest size XS 180g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Finest,,,,139000,,https://cooponline.vn/products/tom-kho-coop-finest-size-xs-180g/,149000
Lạp xưởng tiêu Mai Quế Lộ Coop Select 200g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,46500,,https://cooponline.vn/products/lap-xuong-tieu-mai-que-lo-coop-select-200g/,
Khô gà cay lá chanh sợi lớn Coop Select 450g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,225000,,https://cooponline.vn/products/kho-ga-cay-soi-lon-coop-select-450g/,
Khô gà cay lá chanh Coop Select 350g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,162000,,https://cooponline.vn/products/kho-ga-la-chanh-cay-coop-select-350g/,179000
Khô gà lá chanh Coop Select 350g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,179000,,https://cooponline.vn/products/kho-ga-la-chanh-coop-select-350g/,
Chà bông thịt heo Coop Select 170g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,124900,,https://cooponline.vn/products/cha-bong-heo-coop-select-170g/,
Chà bông thịt heo Coop Select 100g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,79900,,https://cooponline.vn/products/cha-bong-heo-coop-select-100g/,
Chà bông thịt gà Coop Select 100g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,63000,,https://cooponline.vn/products/cha-bong-ga-coop-select-100g/,
Chà bông thịt gà Coop Select 170g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,89000,,https://cooponline.vn/products/cha-bong-ga-coop-select-170g/,98400
Mực nướng cán duỗi tẩm ướp Coop Select 60g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,77000,,https://cooponline.vn/products/muc-nuong-can-duoi-tam-uop-coop-select-60g/,
Lạp xưởng tôm Coop Select hộp 500g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,145000,,https://cooponline.vn/products/lap-xuong-tom-coop-select-hop-500g/,
Tôm khô Coop Finest size XXL 300g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Finest,,,,531900,,https://cooponline.vn/products/tom-kho-coop-finest-size-xxl-300g/,
Tôm khô Coop Finest size XS 100g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Finest,,,,87000,,https://cooponline.vn/products/tom-kho-coop-finest-size-xs-100g/,
Tôm khô Coop Finest size S 400g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Finest,,,,470000,,https://cooponline.vn/products/tom-kho-coop-finest-size-s-400g/,
Tôm khô Coop Finest size S 180g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Finest,,,,213000,,https://cooponline.vn/products/tom-kho-coop-finest-size-s-180g/,
Tôm khô Coop Finest size S 100g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Finest,,,,121000,,https://cooponline.vn/products/tom-kho-coop-finest-size-s-100g/,
Tôm khô Coop Finest size L 500g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Finest,,,,692000,,https://cooponline.vn/products/tom-kho-coop-finest-size-l-500g/,
Tôm khô Coop Finest size L 400g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Finest,,,,559000,,https://cooponline.vn/products/tom-kho-coop-finest-size-l-400g/,
Tôm khô Coop Finest size L 300g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Finest,,,,419000,,https://cooponline.vn/products/tom-kho-coop-finest-size-l-300g/,
Tôm khô Coop Finest size L 180g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Finest,,,,254000,,https://cooponline.vn/products/tom-kho-coop-finest-size-l-180g/,
Lạp xưởng Mai Quế Lộ Coop Select vị tiêu 500g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,99900,,https://cooponline.vn/products/lap-xuong-mai-que-lo-coop-select-vi-tieu-500g/,108000
Xúc xích heo tiệt trùng Coop Select 5 cây x 35g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,17500,,https://cooponline.vn/products/xuc-xich-heo-tiet-trung-coop-select-5-cay-x-35g/,18600
Khô bò xé Coop Select 60g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,69000,,https://cooponline.vn/products/kho-bo-xe-coop-select-60g/,76900
Mực rim me Coop Select 100g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,39000,,https://cooponline.vn/products/muc-rim-me-coop-select-100g/,43500
Chà bông cá hồi Coop Select 120g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,75900,,https://cooponline.vn/products/cha-bong-ca-hoi-coop-select-120g/,84500
Cá trích xé tẩm nướng Coop Select 90g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,42000,,https://cooponline.vn/products/ca-trich-xe-tam-nuong-coop-select-90g/,
Cá chỉ vàng xẻ tẩm nướng Coop Select 90g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,51500,,https://cooponline.vn/products/ca-chi-vang-xe-tam-nuong-coop-select-90g/,
Cá chỉ vàng cháy tỏi Coop Select 60g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,42500,,https://cooponline.vn/products/ca-chi-vang-chay-toi-coop-select-60g/,
Cá bống tẩm ghép nướng cán Coop Select 70g,,,Nhãn Hàng Coop,"Gia vị, gạo, thực phẩm khô","Lạp xưởng, xúc xích, khô sấy",,Coop Select,,,,49500,,https://cooponline.vn/products/ca-bong-tam-ghep-nuong-can-coop-select-70g/,
Thực phẩm bổ sung Anlene gold 3X soco hộp giấy 440g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Anlene,,,,220000,,https://cooponline.vn/products/thuc-pham-bo-sung-anlene-gold-3x-soco-hop-giay-440g/,
Thực phẩm bổ sung Anlene gold 5X hương vani hộp giấy 1.2kg,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Anlene,,,,695000,,https://cooponline.vn/products/thuc-pham-bo-sung-anlene-gold-5x-huong-vani-hop-giay-1-2kg/,
Thực phẩm bổ sung Anlene Total 10 hương vani 2 x 800g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Anlene,,,,1295000,,https://cooponline.vn/products/sua-anlene-total-10-huong-vani-2-x-800g/,
Sữa Anlene Heart Plus 750g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Anlene,,,,665000,,https://cooponline.vn/products/sua-anlene-heart-plus-750g/,
Thực phẩm bổ sung Anlene Total 10 vani hộp thiếc 400g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Anlene,,,,332000,,https://cooponline.vn/products/thuc-pham-bo-sung-anlene-total-10-vani-hop-thiec-400g/,
Thực phẩm bổ sung Anlene Gold 3X vị cà phê hộp giấy 280g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Anlene,,,,120500,,https://cooponline.vn/products/thuc-pham-bo-sung-anlene-gold-3x-vi-ca-phe-hop-giay-280g/,
Thực phẩm dinh dưỡng Ensure ít ngọt hộp thiếc 380g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Ensure,,,,412500,,https://cooponline.vn/products/thuc-pham-dinh-duong-ensure-it-ngot-hop-thiec-380g/,
Thực phẩm dinh dưỡng Ensure cà phê hộp thiếc 800g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Ensure,,,,883500,,https://cooponline.vn/products/thuc-pham-dinh-duong-ensure-ca-phe-hop-thiec-800g/,
Thực phẩm bổ sung Anlene Total 10 vani hộp thiếc 800g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Anlene,,,,540000,,https://cooponline.vn/products/thuc-pham-bo-sung-anlene-total-10-vani-hop-thiec-800g/,647500
Sản phẩm dinh dưỡng Vinamilk Sure Prevent Gold hộp thiếc 900g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Vinamilk,,,,605000,,https://cooponline.vn/products/san-pham-dinh-duong-vinamilk-sure-prevent-gold-hop-thiec-900g/,693000
Sữa bột nguyên kem Nuti hộp thiếc 900g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Nutifood,,,,165000,,https://cooponline.vn/products/sua-bot-nguyen-kem-nuti-hop-thiec-900g/,181200
Thực phẩm dinh dưỡng Glucerna hương vani hộp thiếc 380g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Abbott,,,,417800,,https://cooponline.vn/products/thuc-pham-dinh-duong-glucerna-huong-vani-hop-thiec-380g/,
Sữa bột Similac Mom Vani hộp thiếc 900g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Similac,,,,460000,,https://cooponline.vn/products/sua-bot-similac-mom-vani-hop-thiec-900g/,
Sản phẩm dinh dưỡng Optimum Gold 2 hộp thiếc 800g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Vinamilk,,,,451000,,https://cooponline.vn/products/san-pham-dinh-duong-optimum-gold-2-hop-thiec-800g/,
Thực phẩm dinh dưỡng Glucerna lúa mạch hộp thiếc 850g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Glucerna,,,,878000,,https://cooponline.vn/products/thuc-pham-dinh-duong-glucerna-lua-mach-hop-thiec-850g/,
Thực phẩm dinh dưỡng Ensure vani hộp thiếc 800g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Ensure,,,,873000,,https://cooponline.vn/products/thuc-pham-dinh-duong-ensure-vani-hop-thiec-850g/,883500
Thực phẩm dinh dưỡng Ensure lúa mạch hộp thiếc 800g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Ensure,,,,883500,,https://cooponline.vn/products/thuc-pham-dinh-duong-ensure-lua-mach-hop-thiec-850-800g/,
Thực phẩm dinh dưỡng Ensure ít ngọt hộp thiếc 800g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Ensure,,,,883500,,https://cooponline.vn/products/thuc-pham-dinh-duong-ensure-it-ngot-hop-thiec-800g/,
Thực phẩm dinh dưỡng y học CaloSure America hộp thiếc 800g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,CaloSure,,,,639000,,https://cooponline.vn/products/thuc-pham-dinh-duong-y-hoc-calosure-america-hop-thiec-800g/,666000
Thực phẩm bổ sung Anlene Gold 5X vani hộp thiếc 400g,,,"Sữa, sản phẩm từ sữa","Sữa đặc, sữa bột",Sữa bột người lớn,,Anlene,,,,282000,,https://cooponline.vn/products/thuc-pham-bo-sung-anlene-gold-5x-vani-hop-thiec-400g/,
