product_name,image,cat_l0,cat_l1,cat_l2,cat_l3,barcode,brand,manufacturer,capacity,effect,price,source,href
Tương ớt Sriracha Cholimex chai 520g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,23200,,https://cooponline.vn/products/tuong-ot-sriracha-cholimex-chai-520g/,
Tương ớt Cholimex chai 830g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,29000,,https://cooponline.vn/products/tuong-ot-cholimex-chai-830g/,29700
Tương đen Cholimex chai 230g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,9900,,https://cooponline.vn/products/tuong-den-cholimex-chai-230g/,
Tương ớt Cholimex cay nồng chai 270g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,12800,,https://cooponline.vn/products/tuong-ot-cholimex-cay-nong-chai-270g/,
Tương ớt Cholimex chai 270g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,11600,,https://cooponline.vn/products/tuong-ot-cholimex-chai-270g/,
Tương đen Cholimex chai 520g – CX – F,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,22500,,https://cooponline.vn/products/tuong-den-cholimex-chai-520g/,
Tương ớt Cholimex chai 2.1 Kg,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,60900,,https://cooponline.vn/products/tuong-ot-cholimex-chai-21-kg/,
Tương cà Chinsu chai 250g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,ChinSu,,,,14300,,https://cooponline.vn/products/tuong-ca-chinsu-chai-250g/,16800
Tương ớt Chinsu chai 250g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,ChinSu,,,,16800,,https://cooponline.vn/products/tuong-ot-chinsu-chai-250g/,
Bột giặt Omo comfort tinh dầu thơm sang trọng bền lâu túi 5.1kg + Nước giặt 412g,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Omo,,,,268000,,https://cooponline.vn/products/bot-giat-omo-comfort-tinh-dau-thom-sang-trong-ben-lau-tui-5-1kg-nuoc-giat-412g/,
